2022 National Employment Matrix title,2022 National Employment Matrix code,Occupation type,"Employment, 2022","Employment, 2032","Employment change, numeric, 2022-32","Employment change, percent, 2022-32","Percent self employed, 2022","Occupational openings, 2022-32 annual average","Median annual wage, 2022(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
        Food science technicians,19-4013,Line item,21.2,22.3,1.1,5.2,3.3,3,"$47,860 ",Associate's degree,None,Moderate-term on-the-job training
      Biological technicians,19-4021,Line item,81.4,85.3,3.9,4.7,,10.6,"$49,650 ",Bachelor's degree,None,None
      Chemical technicians,19-4031,Line item,58.8,60.7,1.9,3.2,1.5,7.1,"$50,840 ",Associate's degree,None,Moderate-term on-the-job training
      Environmental science and geoscience technicians,19-4040,Summary,47.5,49.9,2.3,4.9,,5.1,"$48,640 ",,,
"        Environmental science and protection technicians, including health",19-4042,Line item,35,37.1,2,5.8,,3.8,"$48,380 ",Associate's degree,None,None
"        Geological technicians, except hydrologic technicians",19-4043,Line item,9.4,9.6,0.3,3.1,,1,"$48,490 ",Associate's degree,None,Moderate-term on-the-job training
        Hydrologic technicians,19-4044,Line item,3.1,3.1,0,0.4,,0.3,"$58,360 ",Associate's degree,None,Moderate-term on-the-job training
      Nuclear technicians,19-4051,Line item,5.9,5.8,-0.1,-1.3,,0.6,"$100,420 ",Associate's degree,None,Moderate-term on-the-job training
      Social science research assistants,19-4061,Line item,34.4,36,1.6,4.8,3.2,4.4,"$50,470 ",Bachelor's degree,None,None
      Forest and conservation technicians,19-4071,Line item,31.5,31.7,0.2,0.6,0.6,3.8,"$41,520 ",Associate's degree,None,None
"      Miscellaneous life, physical, and social science technicians",19-4090,Summary,98.6,103.9,5.4,5.5,3.8,12.8,"$53,370 ",,,
        Forensic science technicians,19-4092,Line item,18.5,20.8,2.3,12.6,0.8,2.6,"$63,740 ",Bachelor's degree,None,Moderate-term on-the-job training
"        Life, physical, and social science technicians, all other",19-4099,Line item,80,83.1,3,3.8,4.5,10.2,"$50,290 ",Associate's degree,None,None
    Occupational health and safety specialists and technicians,19-5000,Summary,138.4,156.1,17.7,12.8,0.8,17.2,"$75,240 ",,,
      Occupational health and safety specialists,19-5011,Line item,113.8,128.9,15.2,13.3,0.8,14.2,"$78,570 ",Bachelor's degree,None,None
      Occupational health and safety technicians,19-5012,Line item,24.7,27.2,2.5,10.1,0.9,3,"$57,970 ",High school diploma or equivalent,None,Moderate-term on-the-job training
  Community and social service occupations,21-0000,Summary,"2,936.50","3,164.20",227.7,7.8,4.1,281.6,"$49,380 ",,,
"    Counselors, social workers, and other community and social service specialists",21-1000,Summary,"2,422.90","2,649.10",226.2,9.3,3.9,233.4,"$49,330 ",,,
      Counselors,21-1010,Summary,954.8,"1,068.70",113.9,11.9,7.8,89.2,"$51,180 ",,,
"        Educational, guidance, and career counselors and advisors",21-1012,Line item,342.4,360.8,18.4,5.4,1.2,26.6,"$60,140 ",Master's degree,None,None
        Marriage and family therapists,21-1013,Line item,71.2,81.8,10.6,14.9,10.7,5.9,"$56,570 ",Master's degree,None,Internship/residency
        Rehabilitation counselors,21-1015,Line item,84.8,86.4,1.6,1.9,0.8,6.7,"$39,990 ",Master's degree,None,None
"        Substance abuse, behavioral disorder, and mental health counselors",21-1018,Line item,388.2,459.6,71.5,18.4,8.4,42,"$49,710 ",Bachelor's degree,None,None
"        Counselors, all other",21-1019,Line item,68.2,80,11.7,17.2,43.5,8,"$43,390 ",Master's degree,None,None
      Social workers,21-1020,Summary,728.6,782.5,53.8,7.4,2.2,63.8,"$55,350 ",,,
"        Child, family, and school social workers",21-1021,Line item,355.3,374.3,18.9,5.3,,29.5,"$50,820 ",Bachelor's degree,None,None
        Healthcare social workers,21-1022,Line item,191.4,209.8,18.4,9.6,1.4,18.7,"$60,280 ",Master's degree,None,Internship/residency
        Mental health and substance abuse social workers,21-1023,Line item,113.5,125.5,12,10.6,2.8,9.5,"$51,240 ",Master's degree,None,Internship/residency
"        Social workers, all other",21-1029,Line item,68.4,72.9,4.5,6.6,15.1,6,"$61,420 ",Bachelor's degree,None,None
      Miscellaneous community and social service specialists,21-1090,Summary,739.5,797.9,58.4,7.9,0.5,80.5,"$44,050 ",,,
        Health education specialists,21-1091,Line item,60.4,64.8,4.4,7.2,1.5,6.6,"$59,990 ",Bachelor's degree,None,None
        Probation officers and correctional treatment specialists,21-1092,Line item,93.9,96.2,2.4,2.5,,7.4,"$59,860 ",Bachelor's degree,None,Moderate-term on-the-job training
        Social and human service assistants,21-1093,Line item,415.1,450.6,35.6,8.6,0.1,47.4,"$38,520 ",High school diploma or equivalent,None,Short-term on-the-job training
        Community health workers,21-1094,Line item,67.2,76.6,9.4,14.1,1.7,8,"$46,190 ",High school diploma or equivalent,None,Short-term on-the-job training
"        Community and social service specialists, all other",21-1099,Line item,103,109.7,6.7,6.5,1.3,11.1,"$47,290 ",Bachelor's degree,None,None
    Religious workers,21-2000,Summary,513.5,515.1,1.5,0.3,4.8,48.2,"$50,680 ",,,
      Clergy,21-2011,Line item,266.7,268.2,1.5,0.6,8,21.9,"$55,550 ",Bachelor's degree,None,Moderate-term on-the-job training
"      Directors, religious activities and education",21-2021,Line item,171,170.6,-0.4,-0.2,0.8,16.3,"$49,380 ",Bachelor's degree,Less than 5 years,None
"      Religious workers, all other",21-2099,Line item,75.8,76.2,0.4,0.6,2.5,10,"$39,370 ",Bachelor's degree,None,None
  Legal occupations,23-0000,Summary,"1,362.40","1,442.30",80,5.9,8.7,91.7,"$95,170 ",,,
"    Lawyers, judges, and related workers",23-1000,Summary,894.5,958.5,64,7.2,12,42.2,"$133,510 ",,,
      Lawyers and judicial law clerks,23-1010,Summary,842.6,905.3,62.7,7.4,12.6,40.1,"$134,140 ",,,
        Lawyers,23-1011,Line item,826.3,888.7,62.4,7.5,12.8,39.1,"$135,740 ",Doctoral or professional degree,None,None
        Judicial law clerks,23-1012,Line item,16.3,16.6,0.4,2.3,,1,"$57,490 ",Doctoral or professional degree,None,None
"      Judges, magistrates, and other judicial workers",23-1020,Summary,51.9,53.2,1.3,2.4,1.9,2.1,"$113,600 ",,,
"        Administrative law judges, adjudicators, and hearing officers",23-1021,Line item,13.2,13.4,0.1,1.1,,0.5,"$94,990 ",Doctoral or professional degree,5 years or more,Short-term on-the-job training
"        Arbitrators, mediators, and conciliators",23-1022,Line item,9.1,9.6,0.5,5,10.5,0.4,"$64,030 ",Bachelor's degree,Less than 5 years,Moderate-term on-the-job training
"        Judges, magistrate judges, and magistrates",23-1023,Line item,29.6,30.2,0.7,2.2,,1.2,"$151,030 ",Doctoral or professional degree,5 years or more,Short-term on-the-job training
    Legal support workers,23-2000,Summary,467.9,483.8,16,3.4,2.5,49.4,"$58,810 ",,,
      Paralegals and legal assistants,23-2011,Line item,354.3,369.1,14.8,4.2,1.4,38,"$59,200 ",Associate's degree,None,None
      Miscellaneous legal support workers,23-2090,Summary,113.6,114.7,1.1,1,6,11.4,"$56,850 ",,,
"        Title examiners, abstractors, and searchers",23-2093,Line item,62.2,63.3,1,1.7,6.3,6,"$50,490 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"        Legal support workers, all other",23-2099,Line item,51.4,51.5,0.1,0.2,5.6,5.4,"$62,340 ",Associate's degree,None,None
  Educational instruction and library occupations,25-0000,Summary,"9,354.10","9,570.60",216.5,2.3,1.9,857.6,"$57,490 ",,,
    Postsecondary teachers,25-1000,Summary,"1,709.80","1,826.80",117,6.8,0.2,149.2,"$79,080 ",,,
"      Business teachers, postsecondary",25-1011,Line item,99.9,106.9,6.9,6.9,0.2,8.7,"$88,790 ",Doctoral or professional degree,None,None
"      Math and computer science teachers, postsecondary",25-1020,Summary,98,102,4,4.1,0.1,8.2,"$79,810 ",,,
"        Computer science teachers, postsecondary",25-1021,Line item,42,44.3,2.2,5.3,0.2,3.6,"$84,760 ",Doctoral or professional degree,None,None
"        Mathematical science teachers, postsecondary",25-1022,Line item,55.9,57.7,1.8,3.2,0.1,4.6,"$77,420 ",Doctoral or professional degree,None,None
"      Engineering and architecture teachers, postsecondary",25-1030,Summary,53.7,58.2,4.5,8.4,0.2,4.8,"$102,810 ",,,
"        Architecture teachers, postsecondary",25-1031,Line item,8.2,8.5,0.3,3.8,,0.7,"$93,220 ",Doctoral or professional degree,None,None
"        Engineering teachers, postsecondary",25-1032,Line item,45.5,49.7,4.2,9.3,0.1,4.1,"$103,550 ",Doctoral or professional degree,None,None
"      Life sciences teachers, postsecondary",25-1040,Summary,74,79.9,5.9,8,0.2,6.6,"$82,740 ",,,
"        Agricultural sciences teachers, postsecondary",25-1041,Line item,10.1,10.5,0.5,4.8,,0.8,"$85,860 ",Doctoral or professional degree,None,None
"        Biological science teachers, postsecondary",25-1042,Line item,62.4,67.7,5.3,8.6,0.2,5.6,"$81,650 ",Doctoral or professional degree,None,None
"        Forestry and conservation science teachers, postsecondary",25-1043,Line item,1.5,1.6,0.1,5.2,,0.1,"$96,500 ",Doctoral or professional degree,None,None
"      Physical sciences teachers, postsecondary",25-1050,Summary,63.5,65.9,2.4,3.7,0.2,5.3,"$83,700 ",,,
"        Atmospheric, earth, marine, and space sciences teachers, postsecondary",25-1051,Line item,13.6,14.1,0.5,3.6,,1.1,"$97,770 ",Doctoral or professional degree,None,None
"        Chemistry teachers, postsecondary",25-1052,Line item,25.9,26.8,0.9,3.5,,2.1,"$80,720 ",Doctoral or professional degree,None,None
"        Environmental science teachers, postsecondary",25-1053,Line item,7.9,8.2,0.3,4.2,,0.7,"$83,040 ",Doctoral or professional degree,None,None
"        Physics teachers, postsecondary",25-1054,Line item,16.2,16.8,0.6,3.8,,1.3,"$86,550 ",Doctoral or professional degree,None,None
"      Social sciences teachers, postsecondary",25-1060,Summary,141.4,147.3,5.9,4.2,0.2,11.8,"$80,910 ",,,
"        Anthropology and archeology teachers, postsecondary",25-1061,Line item,6.2,6.4,0.2,4,,0.5,"$85,000 ",Doctoral or professional degree,None,None
"        Area, ethnic, and cultural studies teachers, postsecondary",25-1062,Line item,11.9,12.4,0.5,3.9,,1,"$80,910 ",Doctoral or professional degree,None,None
"        Economics teachers, postsecondary",25-1063,Line item,14.8,15.4,0.6,3.8,,1.2,"$103,930 ",Doctoral or professional degree,None,None
"        Geography teachers, postsecondary",25-1064,Line item,4.1,4.3,0.2,4.4,,0.3,"$81,920 ",Doctoral or professional degree,None,None
"        Political science teachers, postsecondary",25-1065,Line item,19.3,20,0.7,3.7,,1.6,"$83,770 ",Doctoral or professional degree,None,None
"        Psychology teachers, postsecondary",25-1066,Line item,50.9,53.6,2.7,5.2,0.2,4.3,"$78,810 ",Doctoral or professional degree,None,None
"        Sociology teachers, postsecondary",25-1067,Line item,15,15.5,0.6,3.7,,1.2,"$78,970 ",Doctoral or professional degree,None,None
"        Social sciences teachers, postsecondary, all other",25-1069,Line item,19.2,19.7,0.5,2.6,,1.6,"$75,390 ",Doctoral or professional degree,None,None
"      Health teachers, postsecondary",25-1070,Summary,348.7,414.5,65.8,18.9,0.2,36.3,"$95,580 ",,,
"        Health specialties teachers, postsecondary",25-1071,Line item,262.8,313,50.2,19.1,0.2,27.4,"$100,300 ",Doctoral or professional degree,Less than 5 years,None
"        Nursing instructors and teachers, postsecondary",25-1072,Line item,85.9,101.5,15.6,18.2,0.2,8.8,"$78,580 ",Doctoral or professional degree,Less than 5 years,None
"      Education and library science teachers, postsecondary",25-1080,Summary,79.7,82.7,3,3.8,0.2,6.6,"$67,920 ",,,
"        Education teachers, postsecondary",25-1081,Line item,74.3,77.1,2.8,3.7,0.2,6.2,"$66,930 ",Doctoral or professional degree,Less than 5 years,None
"        Library science teachers, postsecondary",25-1082,Line item,5.4,5.6,0.2,4.1,,0.4,"$76,370 ",Doctoral or professional degree,None,None
"      Law, criminal justice, and social work teachers, postsecondary",25-1110,Summary,51.7,53.4,1.7,3.2,0.2,4.3,"$77,580 ",,,
"        Criminal justice and law enforcement teachers, postsecondary",25-1111,Line item,16.5,16.9,0.4,2.7,,1.3,"$64,990 ",Doctoral or professional degree,None,None
"        Law teachers, postsecondary",25-1112,Line item,19.8,20.4,0.6,3,0.3,1.6,"$108,860 ",Doctoral or professional degree,Less than 5 years,None
"        Social work teachers, postsecondary",25-1113,Line item,15.5,16.1,0.6,4,,1.3,"$66,510 ",Doctoral or professional degree,None,None
"      Arts, communications, history, and humanities teachers, postsecondary",25-1120,Summary,304.1,311.4,7.4,2.4,0.2,24.7,"$76,850 ",,,
"        Art, drama, and music teachers, postsecondary",25-1121,Line item,123.9,127.8,3.9,3.2,0.3,10.2,"$77,280 ",Master's degree,None,None
"        Communications teachers, postsecondary",25-1122,Line item,33.6,34.8,1.2,3.4,0.2,2.8,"$76,250 ",Doctoral or professional degree,None,None
"        English language and literature teachers, postsecondary",25-1123,Line item,70.1,70.9,0.9,1.2,0.1,5.6,"$74,280 ",Doctoral or professional degree,None,None
"        Foreign language and literature teachers, postsecondary",25-1124,Line item,24.7,25,0.3,1.4,0.2,2,"$76,030 ",Doctoral or professional degree,None,None
"        History teachers, postsecondary",25-1125,Line item,22.8,23.1,0.3,1.3,,1.8,"$79,400 ",Doctoral or professional degree,None,None
"        Philosophy and religion teachers, postsecondary",25-1126,Line item,29.1,29.9,0.8,2.7,0.3,2.4,"$78,780 ",Doctoral or professional degree,None,None
      Miscellaneous postsecondary teachers,25-1190,Summary,395.1,404.6,9.5,2.4,0.2,32.1,"$66,390 ",,,
"        Family and consumer sciences teachers, postsecondary",25-1192,Line item,2.9,3,0.1,3.9,,0.2,"$76,440 ",Doctoral or professional degree,None,None
"        Recreation and fitness studies teachers, postsecondary",25-1193,Line item,16.3,16.8,0.5,3.3,,1.3,"$72,650 ",Doctoral or professional degree,None,None
"        Career/technical education teachers, postsecondary",25-1194,Line item,113,112.5,-0.6,-0.5,0.3,8.7,"$59,840 ",Bachelor's degree,Less than 5 years,None
"        Postsecondary teachers, all other",25-1199,Line item,262.8,272.3,9.4,3.6,0.1,21.8,"$76,920 ",Doctoral or professional degree,None,None
"    Preschool, elementary, middle, secondary, and special education teachers",25-2000,Summary,"4,355.90","4,402.10",46.1,1.1,0.5,314.3,"$61,180 ",,,
      Preschool and kindergarten teachers,25-2010,Summary,635.7,653.6,17.9,2.8,1.4,69.3,"$37,000 ",,,
"        Preschool teachers, except special education",25-2011,Line item,512.3,529.6,17.2,3.4,1.7,56.3,"$35,330 ",Associate's degree,None,None
"        Kindergarten teachers, except special education",25-2012,Line item,123.4,124.1,0.7,0.5,0.3,13,"$60,490 ",Bachelor's degree,None,None
      Elementary and middle school teachers,25-2020,Summary,"2,061.60","2,076.70",15.1,0.7,0.4,139,"$61,730 ",,,
"        Elementary school teachers, except special education",25-2021,Line item,"1,425.00","1,435.00",10,0.7,0.4,96,"$61,690 ",Bachelor's degree,None,None
"        Middle school teachers, except special and career/technical education",25-2022,Line item,625.5,630.6,5.1,0.8,0.4,42.2,"$61,810 ",Bachelor's degree,None,None
"        Career/technical education teachers, middle school",25-2023,Line item,11.1,11.1,0,0,,0.7,"$62,630 ",Bachelor's degree,Less than 5 years,None
      Secondary school teachers,25-2030,Summary,"1,160.20","1,171.10",10.9,0.9,0.4,72.5,"$62,360 ",,,
"        Secondary school teachers, except special and career/technical education",25-2031,Line item,"1,072.30","1,083.40",11.1,1,0.4,67.1,"$62,360 ",Bachelor's degree,None,None
"        Career/technical education teachers, secondary school",25-2032,Line item,88,87.7,-0.2,-0.2,0.1,5.4,"$62,500 ",Bachelor's degree,Less than 5 years,None
      Special education teachers,25-2050,Summary,498.4,500.7,2.2,0.4,0.1,33.5,"$62,950 ",,,
"        Special education teachers, preschool",25-2051,Line item,23.8,24.3,0.5,1.9,,1.6,"$62,240 ",Bachelor's degree,None,None
"        Special education teachers, kindergarten and elementary school",25-2052,Line item,194.7,194.6,-0.1,0,0,12.9,"$62,390 ",Bachelor's degree,None,None
"        Special education teachers, middle school",25-2057,Line item,82.8,82.6,-0.1,-0.2,,5.5,"$62,990 ",Bachelor's degree,None,None
"        Special education teachers, secondary school",25-2058,Line item,153.2,154,0.7,0.5,0,10.3,"$63,560 ",Bachelor's degree,None,None
"        Special education teachers, all other",25-2059,Line item,43.9,45.2,1.3,2.9,0.2,3.1,"$63,950 ",Bachelor's degree,None,None
    Other teachers and instructors,25-3000,Summary,"1,190.10","1,223.80",33.7,2.8,11.6,158.4,"$38,510 ",,,
"      Adult basic education, adult secondary education, and english as a second language instructors",25-3011,Line item,42.2,36.9,-5.3,-12.6,7,4.2,"$58,590 ",Bachelor's degree,None,None
      Self-enrichment teachers,25-3021,Line item,354.7,366.1,11.4,3.2,19.4,44.1,"$44,110 ",High school diploma or equivalent,Less than 5 years,None
"      Substitute teachers, short-term",25-3031,Line item,421.6,438.9,17.4,4.1,4.5,53,"$35,250 ",Bachelor's degree,None,None
      Tutors,25-3041,Line item,223.7,231.1,7.4,3.3,14.9,39.1,"$36,680 ","Some college, no degree",None,None
"      Teachers and instructors, all other",25-3099,Line item,148,150.9,2.9,1.9,9.9,18.1,"$61,250 ",Bachelor's degree,None,None
"    Librarians, curators, and archivists",25-4000,Summary,257.6,260.8,3.2,1.2,1.3,30.9,"$51,220 ",,,
"      Archivists, curators, and museum technicians",25-4010,Summary,37.7,41.5,3.7,9.9,8.6,5,"$53,420 ",,,
        Archivists,25-4011,Line item,9.4,10.2,0.8,8.2,7.5,1.2,"$58,640 ",Master's degree,None,None
        Curators,25-4012,Line item,13.9,15.4,1.5,11.1,9.3,1.9,"$60,380 ",Master's degree,None,None
        Museum technicians and conservators,25-4013,Line item,14.4,15.9,1.4,9.9,8.7,1.9,"$47,270 ",Bachelor's degree,None,None
      Librarians and media collections specialists,25-4022,Line item,141.2,145.5,4.3,3,,13.7,"$61,660 ",Master's degree,None,None
      Library technicians,25-4031,Line item,78.6,73.8,-4.8,-6.1,,12.2,"$37,600 ",Postsecondary nondegree award,None,None
    Other educational instruction and library occupations,25-9000,Summary,"1,840.70","1,857.20",16.4,0.9,0.5,204.8,"$35,520 ",,,
      Farm and home management educators,25-9021,Line item,9.7,9.5,-0.2,-2,,0.8,"$53,450 ",Master's degree,None,None
      Instructional coordinators,25-9031,Line item,216.6,222,5.3,2.5,1.2,19.2,"$66,490 ",Master's degree,5 years or more,None
      Teaching assistants,25-9040,Summary,"1,469.10","1,477.10",8,0.5,0.3,171.9,"$31,320 ",,,
"        Teaching assistants, postsecondary",25-9044,Line item,170.2,177.3,7.1,4.2,0.4,20.9,"$38,050 ",Bachelor's degree,None,None
"        Teaching assistants, except postsecondary",25-9045,Line item,"1,298.90","1,299.80",0.9,0.1,0.3,151,"$30,920 ","Some college, no degree",None,None
"      Educational instruction and library workers, all other",25-9099,Line item,145.3,148.6,3.3,2.3,0.9,12.9,"$47,650 ",Bachelor's degree,None,None
"  Arts, design, entertainment, sports, and media occupations",27-0000,Summary,"3,071.10","3,187.00",115.9,3.8,26.2,316.9,"$58,030 ",,,
    Art and design workers,27-1000,Summary,991.2,"1,020.70",29.4,3,29.8,95.8,"$51,150 ",,,
      Artists and related workers,27-1010,Summary,278.9,296.9,18,6.5,57.4,28.7,"$95,220 ",,,
        Art directors,27-1011,Line item,135.1,143.2,8.2,6.1,58.1,13.8,"$105,180 ",Bachelor's degree,5 years or more,None
        Craft artists,27-1012,Line item,11.5,12,0.4,3.9,59.1,1.1,"$38,150 ",No formal educational credential,None,Long-term on-the-job training
"        Fine artists, including painters, sculptors, and illustrators",27-1013,Line item,29.1,30.6,1.5,5.2,58.5,2.9,"$57,560 ",Bachelor's degree,None,Long-term on-the-job training
        Special effects artists and animators,27-1014,Line item,89.3,96.6,7.4,8.2,57.9,9.4,"$98,950 ",Bachelor's degree,None,None
"        Artists and related workers, all other",27-1019,Line item,14,14.5,0.5,3.4,43.3,1.4,"$69,760 ",No formal educational credential,None,Long-term on-the-job training
      Designers,27-1020,Summary,712.3,723.8,11.4,1.6,19,67.1,"$46,990 ",,,
        Commercial and industrial designers,27-1021,Line item,32.4,33,0.7,2,5.1,2.2,"$75,910 ",Bachelor's degree,None,None
        Fashion designers,27-1022,Line item,24.9,25.7,0.8,3.3,17,2.3,"$76,700 ",Bachelor's degree,None,None
        Floral designers,27-1023,Line item,54.5,44.7,-9.8,-18,20.5,4.7,"$33,160 ",High school diploma or equivalent,None,Moderate-term on-the-job training
        Graphic designers,27-1024,Line item,270.9,279.8,8.9,3.3,18.7,22.8,"$57,990 ",Bachelor's degree,None,None
        Interior designers,27-1025,Line item,94.9,98.7,3.7,3.9,32,9,"$61,590 ",Bachelor's degree,None,None
        Merchandise displayers and window trimmers,27-1026,Line item,173.4,177.5,4.1,2.4,,20.8,"$35,380 ",High school diploma or equivalent,None,Short-term on-the-job training
        Set and exhibit designers,27-1027,Line item,27.8,29.8,2,7.3,59.2,2.5,"$59,990 ",Bachelor's degree,None,None
"        Designers, all other",27-1029,Line item,33.5,34.6,1.1,3.1,62,2.8,"$65,390 ",Bachelor's degree,None,None
"    Entertainers and performers, sports and related workers",27-2000,Summary,857.1,906.7,49.6,5.8,23.8,106.8,"$52,940 ",,,
"      Actors, producers, and directors",27-2010,Summary,253.4,267.6,14.2,5.6,14,25.2,"$75,440 ",,,
        Actors,27-2011,Line item,78.1,80.6,2.5,3.2,26.3,9.3,,"Some college, no degree",None,Long-term on-the-job training
        Producers and directors,27-2012,Line item,175.3,187,11.7,6.7,8.5,16,"$85,320 ",Bachelor's degree,Less than 5 years,None
"      Athletes, coaches, umpires, and related workers",27-2020,Summary,309.6,338.2,28.6,9.2,12.1,45.4,"$45,080 ",,,
        Athletes and sports competitors,27-2021,Line item,14,15.2,1.3,9.1,7.8,1.9,"$94,270 ",No formal educational credential,None,Long-term on-the-job training
        Coaches and scouts,27-2022,Line item,275.2,300.5,25.3,9.2,10.7,38.4,"$44,890 ",Bachelor's degree,None,None
"        Umpires, referees, and other sports officials",27-2023,Line item,20.4,22.4,2,9.7,33.9,5,"$36,010 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Dancers and choreographers,27-2030,Summary,18.4,19.4,1,5.2,19.2,3,"$47,050 ",,,
        Dancers,27-2031,Line item,11.5,12.2,0.6,5.3,19.3,1.9,,No formal educational credential,None,Long-term on-the-job training
        Choreographers,27-2032,Line item,6.9,7.3,0.3,5,19,1.1,"$50,990 ",High school diploma or equivalent,5 years or more,Long-term on-the-job training
"      Musicians, singers, and related workers",27-2040,Summary,225.3,228,2.7,1.2,42.2,27.7,,,,
        Music directors and composers,27-2041,Line item,51.8,52.4,0.6,1.1,22.4,5.1,"$62,940 ",Bachelor's degree,Less than 5 years,None
        Musicians and singers,27-2042,Line item,173.5,175.6,2.1,1.2,48.1,22.6,,No formal educational credential,None,Long-term on-the-job training
"      Miscellaneous entertainers and performers, sports and related workers",27-2090,Summary,50.3,53.5,3.2,6.3,64.9,5.5,,,,
"        Disc jockeys, except radio",27-2091,Line item,23.8,24.8,1,4.2,76.3,2,,High school diploma or equivalent,None,Short-term on-the-job training
"        Entertainers and performers, sports and related workers, all other",27-2099,Line item,26.5,28.7,2.2,8.2,54.6,3.4,,No formal educational credential,None,Short-term on-the-job training
    Media and communication workers,27-3000,Summary,826.2,848.1,21.9,2.6,18.5,77.6,"$66,240 ",,,
      Broadcast announcers and radio disc jockeys,27-3011,Line item,28,24.8,-3.2,-11.4,2.8,2.4,"$41,750 ",Bachelor's degree,None,None
"      News analysts, reporters, and journalists",27-3023,Line item,58.5,56.6,-1.9,-3.3,24.7,6,"$55,960 ",Bachelor's degree,None,None
      Public relations specialists,27-3031,Line item,297.1,315.1,18,6.1,1.1,25.8,"$67,440 ",Bachelor's degree,None,None
      Writers and editors,27-3040,Summary,326.7,331,4.3,1.3,34.4,31.8,"$75,080 ",,,
        Editors,27-3041,Line item,122.1,117.3,-4.9,-4,12.6,11.6,"$73,080 ",Bachelor's degree,Less than 5 years,None
        Technical writers,27-3042,Line item,53.3,57,3.7,6.9,5.8,4.8,"$79,960 ",Bachelor's degree,Less than 5 years,Short-term on-the-job training
        Writers and authors,27-3043,Line item,151.2,156.8,5.6,3.7,62,15.5,"$73,150 ",Bachelor's degree,None,Long-term on-the-job training
      Miscellaneous media and communication workers,27-3090,Summary,115.9,120.6,4.7,4,18.8,11.6,"$58,180 ",,,
        Interpreters and translators,27-3091,Line item,68.7,71.7,3,4.3,21.4,7.2,"$53,640 ",Bachelor's degree,None,None
        Court reporters and simultaneous captioners,27-3092,Line item,21.3,21.9,0.6,2.8,30.8,2.1,"$63,560 ",Postsecondary nondegree award,None,Short-term on-the-job training
"        Media and communication workers, all other",27-3099,Line item,25.8,26.9,1.1,4.3,2,2.3,"$65,000 ",High school diploma or equivalent,None,Short-term on-the-job training
    Media and communication equipment workers,27-4000,Summary,396.5,411.5,15,3.8,38.5,36.7,"$52,840 ",,,
"      Broadcast, sound, and lighting technicians",27-4010,Summary,142.8,145.3,2.5,1.7,13.5,12.9,"$53,960 ",,,
        Audio and video technicians,27-4011,Line item,74.8,78.3,3.5,4.7,12.5,7.1,"$50,660 ",Postsecondary nondegree award,None,Short-term on-the-job training
        Broadcast technicians,27-4012,Line item,39.9,39.4,-0.4,-1.1,15,3.4,"$60,700 ",Associate's degree,None,Short-term on-the-job training
        Sound engineering technicians,27-4014,Line item,17.6,17.4,-0.2,-1.2,13.8,1.5,"$60,670 ",Postsecondary nondegree award,None,Short-term on-the-job training
        Lighting technicians,27-4015,Line item,10.5,10.2,-0.4,-3.4,14.8,0.9,"$61,650 ",Postsecondary nondegree award,None,Short-term on-the-job training
      Photographers,27-4021,Line item,148.9,155,6.1,4.1,68.6,13.9,"$40,170 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"      Television, video, and film camera operators and editors",27-4030,Summary,87.5,93.3,5.8,6.7,34,8.2,"$62,420 ",,,
"        Camera operators, television, video, and film",27-4031,Line item,36.5,37.5,1,2.8,33.3,3.2,"$58,230 ",Bachelor's degree,None,None
        Film and video editors,27-4032,Line item,51,55.8,4.8,9.4,34.4,5,"$63,520 ",Bachelor's degree,None,None
"      Media and communication equipment workers, all other",27-4099,Line item,17.3,17.9,0.6,3.4,9.4,1.6,"$69,490 ",High school diploma or equivalent,None,Short-term on-the-job training
  Healthcare practitioners and technical occupations,29-0000,Summary,"9,481.00","10,243.70",762.7,8,2.3,621.6,"$77,760 ",,,
    Healthcare diagnosing or treating practitioners,29-1000,Summary,"6,305.60","6,848.40",542.7,8.6,3,365.1,"$93,710 ",,,
      Chiropractors,29-1011,Line item,55,59.8,4.9,8.8,31.1,2.6,"$75,380 ",Doctoral or professional degree,None,None
      Dentists,29-1020,Summary,155,161.8,6.8,4.4,10.6,5.1,"$159,530 ",,,
"        Dentists, general",29-1021,Line item,136.7,142.7,6,4.4,10.8,4.5,"$155,040 ",Doctoral or professional degree,None,None
        Oral and maxillofacial surgeons,29-1022,Line item,4.9,5.1,0.2,5,10.8,0.2,"$239,200 ",Doctoral or professional degree,None,Internship/residency
        Orthodontists,29-1023,Line item,7.2,7.5,0.3,4.5,10.9,0.2,"$174,360 ",Doctoral or professional degree,None,Internship/residency
        Prosthodontists,29-1024,Line item,0.4,0.5,0,5.7,,0,,Doctoral or professional degree,None,Internship/residency
"        Dentists, all other specialists",29-1029,Line item,5.8,6,0.2,2.7,6.4,0.2,"$212,740 ",Doctoral or professional degree,None,Internship/residency
      Dietitians and nutritionists,29-1031,Line item,78.6,83.8,5.2,6.6,8.2,5.6,"$66,450 ",Bachelor's degree,None,Internship/residency
      Optometrists,29-1041,Line item,43.4,47.3,3.8,8.8,6.7,1.7,"$125,590 ",Doctoral or professional degree,None,None
      Pharmacists,29-1051,Line item,334.2,342.9,8.7,2.6,0.9,13.4,"$132,750 ",Doctoral or professional degree,None,None
